tweet,sentiment
 넹 ㅋㅋ 영 드 리 메이크 작 이 고 정경호 주연이 이 ᆫ데 저 는 재밌 게 보 었 어요 ! ,1
라온마 보 고 정경호 입 덕 아직 필모깨기 는 제대로 시작 × 웅팍정갱필 모 컾 팔 는데 웅팍필모 가 넘 맛있 어 보이 는 거 이 에요 곧 웅팍필모 깨 어서 저 도 웅팍정 갱 필모컾 맛있 게 먹 을 거 이 다 ㅠ 근데 방금 제 가 더킹 을 보 었 는데 최두일 이 너무 잘 생기 ᆫ 거 이 에요 누가 뭐 이 래도 나 의 눈 이 일단 잘생기 었 데 독전 을 떠올리 었 죠 ,1
" 한지민 , 박신혜 , 정유미 , 송혜교 , 김태리 , 손예진 , 공유 , 현빈 , 박해일 , 정경호 
어디 이 ᆫ가 귀엽 은 포인트 가 있 는 얼굴 이 좋 음  ",1
사랑해요 정경호 배우님 진짜 나 의 완취 이 야 ,1
ㅋㅋㅋㅋㅋ 내 가 친절 하 ᆫ 금자 씨 st 정도전 얘기 하 니까 모님 이 걔 는 귀양 존 버 끝 나 고 개경 에 돌아오 자마자 염흥방 입 에 두부 쑤시 어 넣 으면서 너 나 잘 하 시 어요 ^^ 하 ᆯ 거 이 래 미치 었 어 미치 었 어 진짜 개조 어 ㅋㅋㅋㅋㅋㅋ ,1
ㅋㅋㅋㅋㅋ 내 가 친절 하 ᆫ 금자 씨 st 정도전 얘기 하 니까 모님 이 걔 는 귀양 존 버 끝 나 고 개경 에 돌아오 자마자 염흥방 입 에 두부 쑤시 어 넣 으면서 너 나 잘 하 시 어요 ^^ 하 ᆯ 거 이 래 미치 었 어 미치 었 어 진짜 개조 어 ㅋㅋㅋㅋㅋㅋ ,1
국민은행 에서 정두홍 이 군도 액션 장면 강의 하 는 영상 틀 어 주 었 는데 강동원 목이 계속 잘리 고 ㅜㅜ 나 도 모르 게 앓 고 있 음 어 앙 대 ㅠㅠㅠㅠㅠㅠ ,2
" 20181230 K . WIL L CO N C E R T 
뽀작 이 ᆷ 만 랩 게스트 세우 ᆫ 이 
어쩜 연말 여행 일정 에 맞추 어서 
딱 부산 에 오 어 주 었 는지 ㅠㅠ  
세우 ᆫ 이도 보 고 해돋이 도 보 고 
알차 게 한 해 를 마무리 하 ᆸ니다 .  
풀 영상 은  ",1
정세운 보 구 싶 다 ㅠㅠ ,1
진짜 예뻐 ㅠㅠㅠㅠ 팀 정세운 최고 이 다 ,1
이별 노래 이 ᆫ 진짜 정세운 독백 별 . 나윤권 안부 양 다 일 미안 하 어 마이느 유 잠깐 만 요 좋아하 었 나 보 어 그게뭐라 고 진짜 조음 ,1
" 180101 작년 오늘 의 세운이 와 181223 최근 의 세우 ᆫ 이 ICN 
덕분 에 새해 를 기대 하 면서 맞이 하 ᆯ 수 있 게 되 어서 참 좋 다 
지난 한 해 동안 행복 만 을 안기 어 주 어서 정말 *∞ 고맙 어 
2019 년 에 도 잘 부탁 하 어 Happy new year 모두 들 행복 하 ᆫ 한 해 되 시 어요 ~  ",1
" 정세운 공식 팬클럽 행운 1 기 창 단식 소 취 세 가지 
중 저음 공격 두두 두두 
풋풋 나른 하 ᆫ 미소 가 이쁘 었 던 커버 곡 
세우 ᆫ 이 이 ᆯ까 상상 하 며 듣 던 첫 ost 의 설렘 을 잊 을 수 가 없 다 ㅠㅠ  ",1
" 180804 사운드웨이브 영등포 방송 회관 
새해 첫날 부터 세우 ᆫ 공주 왕자 님 보 어 버리 기  ",1
" 진짜 큰일 나 었 다 
진짜로 진짜로 진짜로 ?  
섹시 요런 거 이 오 ?  
귀여움 이 과 하 다  ",1
" 저 두 요 저 두 요 
저 두 오늘 또 오 었 어요 
사투리 감염 너무 귀엽 다 
23 살 이 이렇 게 귀엽 을 일 이 야  ",1
올해 는 정세운 정규 앨범 대박 나서 음 싸 상위 권 줄 세우 고 음 방 1 위 도 하 고 공중파 예능 고정 출연 으로 사람 들 이 귀염뽀짝공듀 님 알 게 하 어 주 시 고 대중 들 이 믿 고 듣 는 싱어송라이돌 되 어 LaLa 같 은 숨 은 명곡 역 주행 하 고 월 마다 공연 에 시상식 마다 초대 받 어 슈트 입 은 모습 보 ᆯ 수 있 게 하 어 주 시 어요 ,1
" 정소민 , 웃 어 + 단아 한복 자태 … ‘ 이 미모 실화 ? ’ ",1
" 정소민 , 웃 어 + 단아 한복 자태 … ‘ 이 미모 실화 ? ’ ",1
" 국내 배우 들 ㄹ 만 
한지민 
김태리 
이다희 
오연서 
서현진 
정소민 
이성경 
유인나 
김향기 
이유리 
역시 ㅏ 는 얼빠인 가바 ..... ㅠ ㅠㅠ 사실 저 외 에 도 많 음 
사실 가수 겸 배우 엿 으면 우리 용 콩 별 콩 을 하 었 을 것 정상 작동 ㅜ 네 가 .... 좋아  ",1
ㅋㅋㅋㅋㅋ 같은방송사라도와주는것같은뎅 정소민 님 좋아 ,1
우성 팬 이신 산모 분 이 2019 년 새해 첫 애기 낳 으시 었 는데 정우성 이름 따서 태명 우성 이 라고 짓 었 대 우 성아 잘 자라 렴 귀엽 다 ,1
" 정사 죽 
( 정 우성은 얼굴 로 사람 을 죽이 어 ) ",1
다시 태어나 ᆫ다면 정우성 으로 아 아 아 !!!!!!!!!!!!!!!!!! 설경구 작정 하 었 네 ,1
정우성 !!!!! 생일 축하 하 어 !!!!!!!!! 사랑해 !!!!!!!!! 맛있 는 거 많이 먹 어 !!!!!! 행복 하 어 !!!!!!!! ,1
탐라 에 정우성 으로 복작복작 하 ᆫ 거 기분 좋 다 다 들 마음 한 켠 에 정우성 자리 하나 쯤 은 있 으시 었 나 보 다 신 나 ᆫ 당 ,1
안녕하세요 저 는 17 살 아니 18 살 화월 이 ᆸ니다 ! 하정우 좋아하 고요 이선균 이정재 정우성 주지훈 김태리 김향기 도 좋아하 ᆸ니다 여러분 친하 어 지 기 쉽 으니까 ㄱ 쉽 게 다가오 시 어요 ! 흔적 남기 시 면 찾아가 어요 ! 남기 시 ᆫ 흔적 찾아가 시 어요 ,1
흔들리 ᆫ 사진 도 이 정도 이 어 가지 구 지우 지 ᆯ 못하 고 있다 아 이거 ᆫ 다른 날 이 ᆫ가 나 정우성 두 번 보 었 나 여 트 ᆫ 마담뺑 덕 때 진짜진짜 잘생기 ᆷ 물론 다른 때 에 도 잘생기 었 는데 실물 본 때 가 이때 밖에 없 어서 ㅋㅋㅋㅋ ,1
정우성 처음 이 자 마지막 으로 쌩 눈 으로 보 ᆫ 날 . 똑딱이 로 찍 었 는데 도 이 정도 . 정말 너무 너무 잘 생기 었 고 너무너무 길 고 말투 이 며 눈빛 이 며 너무너무 심각 하 게 멋 있 어서 약간 현실 인식 이 안 되 ᆯ 정도 이 었 음 ,1
" 아아 ... 귀엽 은 사람 정우성 
2019 HA P P Y NE W YE A R  ",1
" 정우성 뉴인 별 ㅋㅋㅋㅋㅋ  
이런 깜찍 하 ᆫ 짤 어디 서 나 ᆫ 거 이 야  ",1
" 여러분 모두 2019 
제 가 2018년 을 굉장히 행복 하 게 정우성 배우님 
덕 질 하 고 또 여러 일 의미 있 게 살 다가 새롭 은 
나날 들 이 다가오 ᆯ 2019 년 의 새해 가 되 었 는데 
때 마침 1 월 1 일 이 ᆫ 오늘이 저 의 
이 라 더욱 즐겁 게 2019 년 을 맞이 하 려 하 ᆸ니다 
모두 들 새해 복 많이 받 으시 어요  ",1
정우성 건들 지 말 어 국보 이 야 ,1
허 ᆯ 왓챠 에 비트 올라오 었 네 정우성 잘생기 ᆷ 구경 하 다 자 어야지 ,1
" 조국 수석 의 경우 츄 리닝 에 백팩 을 메 도 
멋있 지 정우성 도 그렇 고 
그거 ᆫ 패완얼 이 라 그럼  ",1
우성 팬 이신 산모 분 이 2019 년 새해 첫 애기 낳 으시 었 는데 정우성 이름 따서 태명 우성 이 라고 짓 었 대 우 성아 잘 자라 렴 귀엽 다 ,1
" 정사 죽 
( 정 우성은 얼굴 로 사람 을 죽이 어 ) ",1
다시 태어나 ᆫ다면 정우성 으로 아 아 아 !!!!!!!!!!!!!!!!!! 설경구 작정 하 었 네 ,1
정우성 !!!!! 생일 축하 하 어 !!!!!!!!! 사랑해 !!!!!!!!! 맛있 는 거 많이 먹 어 !!!!!! 행복 하 어 !!!!!!!! ,1
탐라 에 정우성 으로 복작복작 하 ᆫ 거 기분 좋 다 다 들 마음 한 켠 에 정우성 자리 하나 쯤 은 있 으시 었 나 보 다 신 나 ᆫ 당 ,1
정우성 그림자 에 & gt ; & gt ; 치정멜 로 & lt ; & lt ; 박히 어 잇 는 거 너무 너무 임 일단 얼굴 이 너무 처연 하 고 대박 이 라 타조 똥 이런 거 엿 어도 물 흐르 듯 넘어갓 을 거 같 은 머 왜 하필 치정멜로 야 나 진짜 울 어 앗 ㅅㅂ 먼소 리지 이 게 ,1
흔들리 ᆫ 사진 도 이 정도 이 어 가지 구 지우 지 ᆯ 못하 고 있다 아 이거 ᆫ 다른 날 이 ᆫ가 나 정우성 두 번 보 었 나 여 트 ᆫ 마담뺑 덕 때 진짜진짜 잘생기 ᆷ 물론 다른 때 에 도 잘생기 었 는데 실물 본 때 가 이때 밖에 없 어서 ㅋㅋㅋㅋ ,1
정우성 처음 이 자 마지막 으로 쌩 눈 으로 보 ᆫ 날 . 똑딱이 로 찍 었 는데 도 이 정도 . 정말 너무 너무 잘 생기 었 고 너무너무 길 고 말투 이 며 눈빛 이 며 너무너무 심각 하 게 멋 있 어서 약간 현실 인식 이 안 되 ᆯ 정도 이 었 음 ,1
" 아아 ... 귀엽 은 사람 정우성 
2019 HA P P Y NE W YE A R  ",1
" 정우성 뉴인 별 ㅋㅋㅋㅋㅋ  
이런 깜찍 하 ᆫ 짤 어디 서 나 ᆫ 거 이 야  ",1
" 한지민 , 박신혜 , 정유미 , 송혜교 , 김태리 , 손예진 , 공유 , 현빈 , 박해일 , 정경호 
어디 이 ᆫ가 귀엽 은 포인트 가 있 는 얼굴 이 좋 음  ",1
알티 저거 정유미 성우 분 이 시 어서 넘 조앗 던 .. . ㅠ 엘소드 보 는 것 같 앗 음 . ㅋ . ㅋ ,1
" 프리스트 종 종 보 었 는데 정유미 예쁘 다 ㅜ ㅜ  
검법남녀 에서 도 되게 귀엽 었 는데  ",1
그 즈음 에 ᆫ 보 는 영화 마다 정유미 가 나오 었었 다 ㅋㅋㅋ ,1
저 저 의 최애 캐 어 3 명 이 다 정유미 성우 님 이 ᆫ 거 최근 에 알았어욬 ㅋㅋㅋ 우연 도 참 근데 레인 아샤 옷 입 은 거 넘 .. 괜찮 네요 ? 머리 골뱅골뱅 하 어서 기여워 이 요 ,1
여윽 시 영애 이 ᆫ 리치 정은지 .. ,1
우주 체강 큐티 다 하 어 먹 는 정은지 임 ^^ ,1
" 정은지 , ‘ 퍼센트 ’ 티저 공개 … 매혹 적   자태  ",1
[ 공유 ] ‘ 컴백 ’ 에이핑크 정은지 맞 어 ? 확 달라지 ᆫ 고혹美 [ 비하인드 컷 ] ( 출처 : All about .. | 블로그 ) ,1
정은지 단발개좋 아 ㅠㅠ 이제 의상 만 바꾸 자 ㅜㅠ ,1
출근 전 호밍 이 ... 귀여웡 ... 출근 하 기 싫 어 지 ᆫ다 ... 하지만 이미 회사 이 지 .... ,1
쁘릴 이 지만 이지성 이 늬 까 용서 ㅎㅎ ,1
그렇 어 ( 대귀염둥 이 ) 이지성 ,1
드디어 디읃디딩 듣 ㅇ 어 지성이 가 나오 었 뚜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜ 엉 ㅇ 유 유유 ㅠㅠㅠㅠㅠ 근 ㄷ 사진 왜 이렇 게 잘리 어 나가 냐 그래두 지성 이지성 이 지 ㅓㅇㅇ 잇저시 엉 ㅜㅠㅠㅠㅠㅠ ,1
이지성 찾 는다 나 잠깐 일 있 었 는데 왜 속상하 어 하 면서 가 내 가 그만큼 믿음 을 못 주 었 는지 모르 겠 지만 그냥 안 가 ᆫ다고 오래 가 자고 약속 하 었 잖아 이거 보 면 다시 오 어라 나 ᆫ 톡방 도 아직 그대로 있 어 얼른 와 무슨 일 있 었 는지 도 다 얘기 하 어 주 ᆯ게 ,2
오랜만 이 야 내 사 ~~~ 랑 아 ~~~~~~ 그 대 를 다시 부르 어 오 라 ~~ 고 ~~~ 미치 ᆫ 듯이 울 ~~ 었 어 ~~~~ 안 되 겠 다 데뷔 하 자 이지수 .... ( 그 윽 ) ,1
이지수 복근 까 게 만들 기 서명 운동 오늘 부터 하 ᆫ다 ,1
