tweet,sentiment
"[ 공식 입장 ] 엑 소 수호 , 일 드 리 메이크 작 .. C EO 변신 ' 하연수 와 호흡 ' ( 출처 : OSEN | 네이버 TV 연예 )  
응원 댓글 많이 많이 남기 어 주 시 어요  ",5
신 재호 ... 신재민 ... 이놈 들 아 ... ,5
마리아 씨 가 보 고 계시 어 ~~ 야 이 ᆫ 바츠 ᆯ라 프 군 ~~ ,5
해시태그 둘 다 꼭 사용 하 어 주 시 어요 . 블링크 들 하 ᆫ 맘 으로 같 은 해시태그 를 사용 하 시 어야 만 실트 에 올리 ᆯ 수 있 으니까요 ,5
박혁권 씨 가 하 어 주 면 되 겠 네 . 무대 위 에 돼지 머리 올리 어 놓 고 에 헤라 디 야 악귀 좀 없애 어 보 어 . 귀신 은 믿 는 사람 한테 만 붙 는다 잖아 . ,5
네 박원빈 뜨 었 다 내려오 면서 팔꿈치 로 찍 었 어요 ,5
" 옥주현 씨 의 안나 캐릭터 해석 이 매우 궁금 하 다 . 기회 가 되 ᆫ다면 옥주현 안나 - 이지혜 패티 로 다시 보 고 싶 다 .  
오늘 패티 강혜정 씨 진짜 멋있 고 최고 이 었 지만 , 이지혜 씨 로 도 보고싶다 .  ",1
" 구구단 ( gugudan ) 소이 - 샐리 , 귀엽 은 표정 으로 한 컷 … 러블리 하 ᆫ 모습  ",1
"[ 씨네21 ] [ 2019년 한국영 화 ⑥ ] 윤가은 감독 , “ 우리 모두 집 에 대하 어서 는 풀리 지 않 는 각자 의 숙제 가 있 다 ” |  ",5
" 190125 MX M U . S Tour in LA 
동현 이 너무 이쁘 ᆫ 거 ᆯ  ",1
" 190107 아육대 프리뷰 
나영 여신 님 오늘 최고 이야 ~~~ 
잘 하 었 어요 . 수고 하 었 어요 !  
사랑해  ",1
손 예진 생일 축하 하 어 언제 어디 서 이 든 늘 행복 만 하 기 ᆯ 바라 항상 끝 까지 믿 고 응원 하 ᆯ 것 이 요 ,5
" 김웅 기자 "" 손석희 는 거짓말 을 처세 로 생각 하 는 사람 , 모든 것 이 말 에서 말 로 끝나 고 실행 이 없 는 사람 , 시정잡배 들 이나 내뱉 을 만 하 ᆫ 욕설 , 폭력 을 너무 쉽 게 쓰 는 사람 ,, 손석희 에게 완전 질리 었었 다 "" ",3
생일 축하 런웨이 ! 8 명 의 마스 들 과 너무 행복 하 었 어요 ㅜㅜㅜ ,1
""" 北 이 원하 ᆫ다고 
스위스 타미플 루 
갖 다 바치 는 정부 "" ~ 이언주 
이런 식 이 니 
투자 받 을 자격 도 
안 되 는 주제 에 
우리 재벌 들 보 고 투자 안 하 ᆫ다고 
시비 걸 며 
' 냉면 이 목구멍 에 
넘어갑네 이 까 ? ' 라고 
조롱 하 었 던 것 아니 냐 
더 이상 
이런 低 자세 의 
남북 교류 나 
인도 적 지원 은 
그만두 어야 하 ᆫ다고 .  ",3
" 190126 
오랜만 에 보 니까 더 잘생기 어 지 ᆫ 거 같 네 용 ♡  ",1
" 역사 를 바로 세우 시 ᆫ단다 .!  
자유 친일 좀비 당 어 !  
밤 에 잠 이 오 지 ᆯ 않 을 거 이 고 오줌 이 시원 치 않 을 거 이 다 .  
워낙 에 많이 뿌리 어 지 ᆫ 조상 들 의 
친일 역사 기록 이 족쇄 가 되 ᆯ 날 이 . 멀잖 었 다 .  
文 , 위안부 피해자 김복동 할머니 조문 .. "" 역사 바로 세우 ᆯ 것 "" | 다음 뉴스  ",3
" 중국 가 어서 는 한 마디 도 못 하 고 혼밥 하 다가 뜬금없 이 이 게 무슨 개소리 이 ᆸ니까 ? 니 가 미세먼지 다 마시 고 나 가 죽 으시 어요 .  
문대통령 "" 미세먼지 ' 나쁘 ᆷ ' 이 면 가슴 철렁 … 특단 대책 강구 하 라 ""( 종합 )  
출처 : 연합뉴스 | 네이버  ",3
스파클 님 포르테 의 상 중 제일 진 째 1 순위엿덩 그레이 포르테 ㅔㅔㅠㅠㅠㅠㅠㅠㅠ 실물 진짜 존 예야 ㅜㅠㅠ ,1
강유 리 차 소월 누구 이 ᆫ지 는 모르 어도 이름 석 자 하나 ᆫ 제대로 기억 하 ᆯ 듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 편지 존 나 보내 ᆫ 마리아 악 개 새끼 .... 방송 부 엿 먹이 려 춘식이 가 보내 ᆫ 거 이 ᆫ가 ? 부들 부들 ( 30 장 의 편지지 를 까 며 ) ,1
"[ 게스트 추가 ] 잠시 후 저녁 7 시 GV 에 김 새벽 배우 의 참석 이 추가 되 었 습니다 . 이강현 감독 , 주연 배우 박종환 , 김 새벽 , 백수장 , 윤종 석 전원 참석 하 는 특별 하 ᆫ 시간 을 놓치 지 말 시 어요 . ( 모더레이 터 - 민용 준 영화 저널리스트 ) * 예매 - 맥스무비 , 예스 24 , 현장 티켓 구매 가능  ",5
" 29 쪽 까지 내 가 읽 었 던 책 이 딱 한 권 이 다 . 무심 하 ᆫ 듯 뜨겁 게 읽 을 것 들 이 쌓이 어 가 ᆫ다는 말씀 에 동의 하 ᆫ다 . 그러 면서 위시리스트 를 만들 ᆯ 수 있 다고 합리 화 중 이 다 . 장바구니 도 점점 채우 어 지 고 . 또 어떤 책 이 있 을까 . 눈 이 반짝반짝 해진 이 다 .  
서효인 + 박혜진 .  
읽 을 것 들 은 이토 록 쌓이 어 가 고 ( 나 ᆫ다 ) ",5
서병기 기자 님 방탄소년단 지민 의 기사 참좋으네 이 요 새해 벽두 부터 지민 이 에 대하 ᆫ 짐부심 으로 뿜뿜 하 ᆸ니다 지민 아 ~~ 내 이리 되 ᆯ 줄 진즉 알 었 느니라 ,1
